,cik_No1,cik_No2,count
516,773411,1666736,9
517,773411,1672067,342
518,773411,1686444,622
519,773411,1697300,1005
520,773411,1698006,1
521,773411,1698219,385
522,773411,1714590,104
523,773411,1715635,1
524,773411,1722638,263
525,773411,1723925,169
526,773411,1728120,2
527,773411,1734493,49
528,773411,1764059,351
529,773411,1764403,24
530,773411,1767602,602
531,773411,1768095,470
532,773411,1794820,1
533,773411,1799957,807
534,773411,1800620,419
535,773411,1802080,418
536,773411,1802225,681
537,773411,1802277,200
538,773411,1803295,87
539,773411,1803898,452
540,773411,1825611,230
541,773411,1832158,201
542,773411,1832439,19
543,773411,1841757,103
544,773411,1852993,329
545,775368,35527,1
546,775368,713676,1
547,775368,857508,9
548,775368,859139,1
549,775368,944804,6
550,775368,1130787,4
551,775368,1166588,1
552,775368,1360798,1
553,775368,1364742,7
554,775368,1373442,1
555,775368,1447946,2
556,775368,1463559,1
557,775368,1664713,1
558,857508,16972,1
559,857508,35527,1
560,857508,713676,1
561,857508,732905,1
562,857508,773411,1
563,857508,859139,2
564,857508,914933,2
565,857508,944804,4
566,857508,1056527,1
567,857508,1080107,1
568,857508,1130787,4
569,857508,1140771,1
570,857508,1166588,3
571,857508,1297376,1
572,857508,1364742,6
573,857508,1373442,1
574,857508,1374170,1
575,857508,1463559,1
576,857508,1666736,2
577,857508,1794820,1
578,857508,1825611,1
579,859139,16972,1
580,859139,35527,121
581,859139,712050,21
582,859139,713676,163
583,859139,733986,12
584,859139,773411,66
585,859139,775368,1
586,859139,859139,1
587,859139,944804,2
588,859139,1002672,9
589,859139,1008322,1
590,859139,1078246,1
591,859139,1080107,90
592,859139,1105837,3
593,859139,1130787,10
594,859139,1140771,9
595,859139,1166588,1
596,859139,1271347,6
597,859139,1285973,7
598,859139,1297376,13
599,859139,1360798,19
600,859139,1364742,231
601,859139,1373442,90
602,859139,1374170,1
603,859139,1376113,5
604,859139,1399794,19
605,859139,1411530,12
606,859139,1415996,19
607,859139,1418329,1
608,859139,1447946,2
609,859139,1454759,1
610,859139,1463559,2
611,859139,1509974,14
612,859139,1510668,1
613,859139,1535811,29
614,859139,1539994,1
615,859139,1541897,36
616,859139,1548916,50
617,859139,1595509,7
618,859139,1603001,1
619,859139,1615135,4
620,859139,1633343,1
621,859139,1666736,1
622,859139,1672067,5
623,859139,1686444,19
624,859139,1697300,23
625,859139,1698006,1
626,859139,1698219,8
627,859139,1714590,3
628,859139,1722638,6
629,859139,1723925,4
630,859139,1734493,3
631,859139,1764059,11
632,859139,1767602,17
633,859139,1768095,12
634,859139,1794820,1
635,859139,1799957,31
636,859139,1800620,17
637,859139,1802080,10
638,859139,1802225,28
639,859139,1802277,1
640,859139,1803295,1
641,859139,1803898,11
642,859139,1825611,4
643,859139,1832158,3
644,859139,1852993,10
645,914933,1374170,1
646,914933,1388409,3
647,914933,1455969,10
648,914933,1513211,6
649,914933,1803295,1
650,931097,1388409,1
651,931097,1455969,1
652,944804,16972,1
653,944804,35527,3
654,944804,712050,1
655,944804,713676,2
656,944804,773411,1
657,944804,775368,1
658,944804,1002672,1
659,944804,1008322,1
660,944804,1078246,1
661,944804,1080107,1
662,944804,1105837,1
663,944804,1130787,6
664,944804,1140771,2
665,944804,1166588,2
666,944804,1285973,1
667,944804,1297376,1
668,944804,1360798,2
669,944804,1364742,9
670,944804,1373442,2
671,944804,1374170,2
672,944804,1376113,1
673,944804,1399794,1
674,944804,1411530,1
675,944804,1415996,1
676,944804,1418329,1
677,944804,1447946,2
678,944804,1463559,2
679,944804,1509974,1
680,944804,1510668,1
681,944804,1535811,1
682,944804,1539994,1
683,944804,1541897,1
684,944804,1595509,1
685,944804,1603001,1
686,944804,1633343,1
687,944804,1666736,1
688,944804,1672067,1
689,944804,1686444,1
690,944804,1697300,1
691,944804,1698006,1
692,944804,1698219,1
693,944804,1714590,1
694,944804,1715635,1
695,944804,1722638,1
696,944804,1723925,1
697,944804,1734493,1
698,944804,1764059,1
699,944804,1767602,1
700,944804,1768095,1
701,944804,1794820,1
702,944804,1802225,1
703,944804,1803295,1
704,944804,1803898,1
705,944804,1825611,1
706,944804,1832158,1
707,944804,1852993,1
708,1002672,5272,69
709,1002672,16972,47
710,1002672,35527,852
711,1002672,356264,37
712,1002672,712050,183
713,1002672,713676,1084
714,1002672,732905,4
715,1002672,733986,83
716,1002672,773411,490
717,1002672,775368,15
718,1002672,857508,19
719,1002672,859139,12
720,1002672,944804,25
721,1002672,1002672,42
722,1002672,1008322,47
723,1002672,1019231,1
724,1002672,1027796,1
725,1002672,1039565,1
726,1002672,1040190,39
727,1002672,1056527,47
728,1002672,1078246,33
729,1002672,1080107,645
730,1002672,1082621,13
731,1002672,1091961,6
732,1002672,1105837,27
733,1002672,1119032,9
734,1002672,1130787,112
735,1002672,1140771,61
736,1002672,1166588,86
737,1002672,1271347,29
738,1002672,1285973,77
739,1002672,1297376,176
740,1002672,1334199,3
741,1002672,1360798,268
