,cik_No1,cik_No2
539,773411,1803898
540,773411,1825611
541,773411,1832158
542,773411,1832439
543,773411,1841757
544,773411,1852993
545,775368,35527
546,775368,713676
547,775368,857508
548,775368,859139
549,775368,944804
550,775368,1130787
551,775368,1166588
552,775368,1360798
553,775368,1364742
554,775368,1373442
555,775368,1447946
556,775368,1463559
557,775368,1664713
558,857508,16972
559,857508,35527
560,857508,713676
561,857508,732905
562,857508,773411
563,857508,859139
564,857508,914933
565,857508,944804
566,857508,1056527
567,857508,1080107
568,857508,1130787
569,857508,1140771
570,857508,1166588
571,857508,1297376
572,857508,1364742
573,857508,1373442
574,857508,1374170
575,857508,1463559
576,857508,1666736
577,857508,1794820
578,857508,1825611
579,859139,16972
580,859139,35527
581,859139,712050
582,859139,713676
583,859139,733986
584,859139,773411
585,859139,775368
586,859139,859139
587,859139,944804
588,859139,1002672
589,859139,1008322
590,859139,1078246
591,859139,1080107
592,859139,1105837
593,859139,1130787
594,859139,1140771
595,859139,1166588
596,859139,1271347
597,859139,1285973
598,859139,1297376
599,859139,1360798
600,859139,1364742
601,859139,1373442
602,859139,1374170
603,859139,1376113
604,859139,1399794
605,859139,1411530
606,859139,1415996
607,859139,1418329
608,859139,1447946
609,859139,1454759
610,859139,1463559
611,859139,1509974
612,859139,1510668
613,859139,1535811
614,859139,1539994
615,859139,1541897
616,859139,1548916
617,859139,1595509
618,859139,1603001
619,859139,1615135
620,859139,1633343
621,859139,1666736
622,859139,1672067
623,859139,1686444
624,859139,1697300
625,859139,1698006
626,859139,1698219
627,859139,1714590
628,859139,1722638
629,859139,1723925
630,859139,1734493
631,859139,1764059
632,859139,1767602
633,859139,1768095
634,859139,1794820
635,859139,1799957
636,859139,1800620
637,859139,1802080
638,859139,1802225
639,859139,1802277
640,859139,1803295
641,859139,1803898
642,859139,1825611
643,859139,1832158
644,859139,1852993
645,914933,1374170
646,914933,1388409
647,914933,1455969
648,914933,1513211
649,914933,1803295
650,931097,1388409
651,931097,1455969
652,944804,16972
653,944804,35527
654,944804,712050
655,944804,713676
656,944804,773411
657,944804,775368
658,944804,1002672
659,944804,1008322
660,944804,1078246
661,944804,1080107
662,944804,1105837
663,944804,1130787
664,944804,1140771
665,944804,1166588
666,944804,1285973
667,944804,1297376
668,944804,1360798
669,944804,1364742
670,944804,1373442
671,944804,1374170
672,944804,1376113
673,944804,1399794
674,944804,1411530
675,944804,1415996
676,944804,1418329
677,944804,1447946
678,944804,1463559
679,944804,1509974
680,944804,1510668
681,944804,1535811
682,944804,1539994
683,944804,1541897
684,944804,1595509
685,944804,1603001
686,944804,1633343
687,944804,1666736
688,944804,1672067
689,944804,1686444
690,944804,1697300
691,944804,1698006
692,944804,1698219
693,944804,1714590
694,944804,1715635
695,944804,1722638
696,944804,1723925
697,944804,1734493
698,944804,1764059
699,944804,1767602
700,944804,1768095
701,944804,1794820
702,944804,1802225
703,944804,1803295
704,944804,1803898
705,944804,1825611
706,944804,1832158
707,944804,1852993
708,1002672,5272
709,1002672,16972
710,1002672,35527
711,1002672,356264
712,1002672,712050
713,1002672,713676
714,1002672,732905
715,1002672,733986
716,1002672,773411
717,1002672,775368
718,1002672,857508
719,1002672,859139
720,1002672,944804
721,1002672,1002672
722,1002672,1008322
723,1002672,1019231
724,1002672,1027796
725,1002672,1039565
726,1002672,1040190
727,1002672,1056527
728,1002672,1078246
729,1002672,1080107
730,1002672,1082621
731,1002672,1091961
732,1002672,1105837
733,1002672,1119032
734,1002672,1130787
735,1002672,1140771
736,1002672,1166588
737,1002672,1271347
738,1002672,1285973
739,1002672,1297376
740,1002672,1334199
741,1002672,1360798
742,1002672,1364742
743,1002672,1373442
744,1002672,1374170
745,1002672,1376113
746,1002672,1388409
747,1002672,1394866
748,1002672,1399794
749,1002672,1411530
750,1002672,1415996
751,1002672,1418329
752,1002672,1447946
753,1002672,1454759
754,1002672,1463559
755,1002672,1508097
756,1002672,1509974
757,1002672,1510668
758,1002672,1535811
759,1002672,1539994
760,1002672,1541897
761,1002672,1548916
762,1002672,1582202
763,1002672,1595509
764,1002672,1599950
765,1002672,1603001
766,1002672,1609674
767,1002672,1615135
768,1002672,1633343
769,1002672,1664713
770,1002672,1666736
771,1002672,1672067
772,1002672,1686444
773,1002672,1695426
774,1002672,1697300
775,1002672,1698006
776,1002672,1698219
777,1002672,1714590
778,1002672,1715635
779,1002672,1722329
780,1002672,1722638
781,1002672,1723925
782,1002672,1728120
783,1002672,1728718
784,1002672,1729854
785,1002672,1734493
786,1002672,1745796
787,1002672,1764059
788,1002672,1764403
789,1002672,1767602
790,1002672,1768095
791,1002672,1772940
792,1002672,1794153
793,1002672,1794820
794,1002672,1798736
795,1002672,1799957
796,1002672,1800620
797,1002672,1801585
798,1002672,1802080
799,1002672,1802225
800,1002672,1802277
801,1002672,1803295
802,1002672,1803898
803,1002672,1817652
804,1002672,1825611
805,1002672,1832158
806,1002672,1832439
807,1002672,1840750
808,1002672,1841757
809,1002672,1844568
810,1002672,1852993
811,1008322,5272
812,1008322,16972
